Wind Speed,average temperature,precipitation,snow fall,rating,wet,label
14.1197,3.333333333,0,0,7,0,7
14.2646,2.222222222,0,0,7,0,7
3.9284,4.444444444,0,0,6,0,6
14.1036,-3.888888889,0,0,8,0,8
11.0446,-6.666666667,0,0,8,0,8
13.9587,0.555555556,0,0,7,0,7
12.3648,3.611111111,0,0,7,0,7
14.1519,3.611111111,0,0,7,0,7
11.3183,6.388888889,0,0,6,0,6
12.5258,9.722222222,45.72,0,6,2,26
17.5651,0.555555556,0,0,7,0,7
19.7869,1.388888889,0,0,7,0,7
21.9443,-3.333333333,0,0,8,0,8
20.6885,-1.111111111,0,0,8,0,8
15.3755,5.833333333,0,0,7,0,7
10.4006,8.333333333,6.096,0,6,1,16
14.4095,2.222222222,1.27,10.16,7,3,37
11.1573,-4.166666667,0,0,8,0,8
8.5169,-5.555555556,0,0,8,0,8
7.6314,0,0,0,7,0,7
7.3899,-0.555555556,0,0,7,0,7
4.9266,-3.611111111,0.254,5.08,7,3,37
6.6493,-3.611111111,58.674,693.42,7,4,47
3.9284,-2.5,0,0,7,0,7
16.9855,0.833333333,0,0,7,0,7
17.2109,6.111111111,0,0,6,0,6
10.8192,4.722222222,0,0,6,0,6
11.0768,2.777777778,0,0,7,0,7
6.6493,1.944444444,0,0,6,0,6
13.0088,0.833333333,0,0,7,0,7
11.1734,7.777777778,0,0,5,0,5
12.8156,10.83333333,0.254,0,5,1,15
13.7494,6.666666667,0,0,6,0,6
15.6331,10.27777778,18.542,0,5,1,15
17.549,10.83333333,0,0,5,0,5
22.7815,3.055555556,13.462,63.5,7,4,47
23.8924,1.666666667,0,0,7,0,7
28.3682,4.444444444,0,0,7,0,7
26.9031,0.833333333,1.27,2.54,7,3,37
25.6956,-0.277777778,0,0,8,0,8
25.3092,1.666666667,0.254,0,7,1,17
18.1125,-4.166666667,0,0,8,0,8
23.4255,-6.111111111,0,0,8,0,8
20.0445,-10,0,0,9,0,9
21.3969,-13.88888889,0,0,9,0,9
21.3808,-4.444444444,11.176,35.56,8,4,48
20.0123,6.944444444,25.654,0,6,2,26
16.5025,2.777777778,0,0,7,0,7
17.0982,-0.277777778,0,0,7,0,7
14.3612,-0.277777778,0,0,7,0,7
22.0409,10,0,0,5,0,5
11.3344,9.722222222,0.762,0,5,1,15
11.2056,7.222222222,0,0,6,0,6
10.4006,3.055555556,7.62,0,7,1,17
12.0106,8.888888889,30.988,0,6,2,26
9.2092,9.444444444,0.508,0,5,1,15
9.9015,0.555555556,0,0,7,0,7
13.8299,0.833333333,0,0,7,0,7
9.0965,9.444444444,0,0,5,0,5
0.644,12.22222222,1.27,0,5,1,15
0.6762,7.5,0,0,6,0,6
3.864,5.555555556,3.556,0,6,1,16
7.8246,-0.555555556,0,0,7,0,7
15.5848,1.388888889,2.794,10.16,7,3,37
23.6992,1.388888889,0,0,7,0,7
20.9622,3.333333333,0,0,7,0,7
22.3951,8.888888889,0,0,6,0,6
26.5006,13.88888889,0,0,4,0,4
23.2162,15.83333333,0,0,4,0,4
25.4219,21.66666667,0,0,2,0,2
28.1267,14.44444444,1.524,0,4,1,14
19.2878,9.722222222,0,0,5,0,5
20.447,13.33333333,0,0,4,0,4
27.8691,7.5,7.366,0,6,1,16
6.7459,10.27777778,0,0,5,0,5
14.9086,13.61111111,0.508,0,4,1,14
25.0355,12.22222222,0,0,5,0,5
19.8352,9.722222222,0,0,5,0,5
28.0945,5,0,0,6,0,6
27.9818,3.055555556,1.778,0,7,1,17
30.8637,5,1.524,12.7,7,3,37
32.1678,7.5,0,0,6,0,6
26.5328,15.27777778,0,0,3,0,3
28.336,9.722222222,0,0,5,0,5
29.8333,14.44444444,1.016,0,4,1,14
28.4809,8.055555556,0,0,6,0,6
28.5131,9.444444444,0,0,6,0,6
25.6956,11.11111111,9.652,0,5,1,15
25.3414,8.055555556,0,0,7,0,7
21.413,8.055555556,0,0,7,0,7
17.8549,16.11111111,0,0,2,0,2
15.1984,21.11111111,0.508,0,1,1,11
15.7297,12.77777778,4.064,0,5,1,15
12.3648,5.555555556,2.286,0,6,1,16
13.8943,2.777777778,11.938,0,7,1,17
